Qty,Value,Device,Package,Parts,Description,MANUFACTURER,MAXIMUM_PACKAGE_HEIGHT,MPN,OC_FARNELL,OC_NEWARK,PACKAGE,PARTREV,STANDARD,SUPPLIER
5,89898-306ALF,89898-306ALF,AMPHENOL_89898-306ALF,"J4, J5, J6, J7, J8",,"Amphenol ICC (FCI)",,,,,,AK,"Manufacturer Recommendations",
64,B140-13-F,B140-13-F,DIOM4326X240N,"SCH_D1, SCH_D2, SCH_D3, SCH_D4, SCH_D5, SCH_D6, SCH_D7, SCH_D8, SCH_D9, SCH_D10, SCH_D11, SCH_D12, SCH_D13, SCH_D14, SCH_D15, SCH_D16, SCH_D17, SCH_D18, SCH_D19, SCH_D20, SCH_D21, SCH_D22, SCH_D23, SCH_D24, SCH_D25, SCH_D26, SCH_D27, SCH_D28, SCH_D29, SCH_D30, SCH_D31, SCH_D32, SCH_D33, SCH_D34, SCH_D35, SCH_D36, SCH_D37, SCH_D38, SCH_D39, SCH_D40, SCH_D41, SCH_D42, SCH_D43, SCH_D44, SCH_D45, SCH_D46, SCH_D47, SCH_D48, SCH_D49, SCH_D50, SCH_D51, SCH_D52, SCH_D53, SCH_D54, SCH_D55, SCH_D56, SCH_D57, SCH_D58, SCH_D59, SCH_D60, SCH_D61, SCH_D62, SCH_D63, SCH_D64",,"Diodes Inc.","2.4 mm",,,,,"19 - 2","IPC 7351B",
24,BZT52B3V3_RHG,BZT52B3V3_RHG,DIO_BZT52B3V3_RHG,"3.3V_D1, 3.3V_D2, 3.3V_D3, 3.3V_D4, 3.3V_D5, 3.3V_D6, 3.3V_D7, 3.3V_D8, 3.3V_D9, 3.3V_D10, 3.3V_D11, 3.3V_D12, 3.3V_D13, 3.3V_D14, 3.3V_D15, 3.3V_D16, 3.3V_D17, 3.3V_D18, 3.3V_D19, 3.3V_D20, 3.3V_D21, 3.3V_D22, 3.3V_D23, 3.3V_D24",,"Taiwan Semiconductor","1.15 mm",,,,,F15,"Manufacturer Recommendations",
18,GRM1885C1H102JA01D,GRM1885C1H102JA01D,CAPC1608X90N,"1NF_C2, 1NF_C3, 1NF_C4, 1NF_C5, 1NF_C6, 1NF_C7, 1NF_C8, 1NF_C9, 1NF_C10, 1NF_C11, 1NF_C12, 1NF_C13, 1NF_C14, 1NF_C15, 1NF_C16, 1NF_C17, 1NF_C18, 1NF_C19",,,,,,,,,,
20,GRM1885C1H432JA01D,GRM1885C1H432JA01D,CAPC1608X90N,"4.3NF_C2, 4.3NF_C3, 4.3NF_C4, 4.3NF_C5, 4.3NF_C6, 4.3NF_C7, 4.3NF_C8, 4.3NF_C9, 4.3NF_C10, 4.3NF_C11, 4.3NF_C12, 4.3NF_C13, 4.3NF_C14, 4.3NF_C15, 4.3NF_C16, 4.3NF_C17, 4.3NF_C18, 4.3NF_C19, 4.3NF_C20, 4.3NF_C21",,,,,,,,,,
1,L78M08CDT-TR,L78M08CDT-TR,VREG_L78M08CDT-TR,U1,,STMicroelectronics,"2.4 mm",,,,,23,"Manufacturer Recommendations",
18,RC0805FR-07100KL,RC0805FR-07100KL,RESC2012X60N,"100K_R10, 100K_R11, 100K_R12, 100K_R13, 100K_R14, 100K_R15, 100K_R16, 100K_R17, 100K_R28, 100K_R29, 100K_R30, 100K_R31, 100K_R32, 100K_R33, 100K_R34, 100K_R35, 100K_R36, 100K_R37",,,,,,,,,,
18,RC1206FR-07330RL,RC1206FR-07330RL,RESC3116X65N,"330_R2, 330_R3, 330_R4, 330_R5, 330_R6, 330_R7, 330_R8, 330_R9, 330_R10, 330_R11, 330_R12, 330_R13, 330_R14, 330_R15, 330_R16, 330_R17, 330_R18, 330_R19",,,,,,,,,,
56,RC2512FK-072KL,RC2512FK-072KL,RESC6331X65N,"2K_R1, 2K_R2, 2K_R3, 2K_R4, 2K_R5, 2K_R6, 2K_R7, 2K_R8, 2K_R9, 2K_R10, 2K_R11, 2K_R12, 2K_R13, 2K_R14, 2K_R15, 2K_R16, 2K_R17, 2K_R18, 2K_R19, 2K_R20, 2K_R21, 2K_R22, 2K_R23, 2K_R24, 2K_R25, 2K_R26, 2K_R27, 2K_R28, 2K_R29, 2K_R30, 2K_R31, 2K_R32, 2K_R33, 2K_R34, 2K_R35, 2K_R36, 2K_R37, 2K_R38, 2K_R39, 2K_R40, 2K_R41, 2K_R42, 2K_R43, 2K_R44, 2K_R45, 2K_R46, 2K_R47, 2K_R48, 2K_R49, 2K_R50, 2K_R51, 2K_R52, 2K_R53, 2K_R54, 2K_R55, 2K_R56",,,,,,,,,,
18,RCS080510K0FKEA,RCS080510K0FKEA,RESC2012X50N,"10K_R1, 10K_R2, 10K_R3, 10K_R4, 10K_R5, 10K_R6, 10K_R7, 10K_R8, 10K_R9, 10K_R10, 10K_R11, 10K_R12, 10K_R13, 10K_R14, 10K_R15, 10K_R16, 10K_R17, 10K_R18",,,,,,,,,,
